file,class,method,variable,usage
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ProviderExportListener.java,com.alibaba.boot.dubbo.listener.ProviderExportListener,unexported/1[Exporter],anInterface,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ProviderExportListener.java,com.alibaba.boot.dubbo.listener.ProviderExportListener,unexported/1[Exporter],exporter,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ProviderExportListener.java,com.alibaba.boot.dubbo.listener.ProviderExportListener,unexported/1[Exporter],classIdBean,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ProviderExportListener.java,com.alibaba.boot.dubbo.listener.ProviderExportListener,unexported/1[Exporter],invoker,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ProviderExportListener.java,com.alibaba.boot.dubbo.listener.ProviderExportListener,unexported/1[Exporter],version,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ProviderExportListener.java,com.alibaba.boot.dubbo.listener.ProviderExportListener,unexported/1[Exporter],url,4
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ProviderExportListener.java,com.alibaba.boot.dubbo.listener.ProviderExportListener,unexported/1[Exporter],group,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ConsumerInvokeStaticsFilter.java,com.alibaba.boot.dubbo.listener.ConsumerInvokeStaticsFilter,invoke/2[Invoker,Invocation],anInterface,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ConsumerInvokeStaticsFilter.java,com.alibaba.boot.dubbo.listener.ConsumerInvokeStaticsFilter,invoke/2[Invoker,Invocation],invocation,3
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ConsumerInvokeStaticsFilter.java,com.alibaba.boot.dubbo.listener.ConsumerInvokeStaticsFilter,invoke/2[Invoker,Invocation],classIdBean,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ConsumerInvokeStaticsFilter.java,com.alibaba.boot.dubbo.listener.ConsumerInvokeStaticsFilter,invoke/2[Invoker,Invocation],invocationInvoker,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ConsumerInvokeStaticsFilter.java,com.alibaba.boot.dubbo.listener.ConsumerInvokeStaticsFilter,invoke/2[Invoker,Invocation],invoker,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ConsumerInvokeStaticsFilter.java,com.alibaba.boot.dubbo.listener.ConsumerInvokeStaticsFilter,invoke/2[Invoker,Invocation],version,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ConsumerInvokeStaticsFilter.java,com.alibaba.boot.dubbo.listener.ConsumerInvokeStaticsFilter,invoke/2[Invoker,Invocation],url,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ConsumerInvokeStaticsFilter.java,com.alibaba.boot.dubbo.listener.ConsumerInvokeStaticsFilter,invoke/2[Invoker,Invocation],group,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/metrics/DubboMetrics.java,com.alibaba.boot.dubbo.metrics.DubboMetrics,metrics/0,entry,5
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/metrics/DubboMetrics.java,com.alibaba.boot.dubbo.metrics.DubboMetrics,metrics/0,entry1,5
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/metrics/DubboMetrics.java,com.alibaba.boot.dubbo.metrics.DubboMetrics,metrics/0,classIdBean,3
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/metrics/DubboMetrics.java,com.alibaba.boot.dubbo.metrics.DubboMetrics,metrics/0,metrics,3
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/metrics/DubboMetrics.java,com.alibaba.boot.dubbo.metrics.DubboMetrics,metrics/0,countMap,3
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboProviderAutoConfiguration.java,com.alibaba.boot.dubbo.DubboProviderAutoConfiguration,init/0,entry,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboProviderAutoConfiguration.java,com.alibaba.boot.dubbo.DubboProviderAutoConfiguration,init/0,beans,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboProviderAutoConfiguration.java,com.alibaba.boot.dubbo.DubboProviderAutoConfiguration,initProviderBean/2[java.lang.String,java.lang.Object],serviceConfig,10
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboProviderAutoConfiguration.java,com.alibaba.boot.dubbo.DubboProviderAutoConfiguration,initProviderBean/2[java.lang.String,java.lang.Object],service,5
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboProviderAutoConfiguration.java,com.alibaba.boot.dubbo.DubboProviderAutoConfiguration,initProviderBean/2[java.lang.String,java.lang.Object],beanName,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboProviderAutoConfiguration.java,com.alibaba.boot.dubbo.DubboProviderAutoConfiguration,initProviderBean/2[java.lang.String,java.lang.Object],version,7
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboProviderAutoConfiguration.java,com.alibaba.boot.dubbo.DubboProviderAutoConfiguration,initProviderBean/2[java.lang.String,java.lang.Object],bean,4
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboProviderAutoConfiguration.java,com.alibaba.boot.dubbo.DubboProviderAutoConfiguration,initProviderBean/2[java.lang.String,java.lang.Object],group,7
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/health/DubboHealthIndicator.java,com.alibaba.boot.dubbo.health.DubboHealthIndicator,doHealthCheck/1[Health],classIdBean,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/health/DubboHealthIndicator.java,com.alibaba.boot.dubbo.health.DubboHealthIndicator,doHealthCheck/1[Health],service,1
